"","Fire","Transect","Treated","Diameter","ScorchHt","CharHt","Slope","fake"
"518",5,23,0,-1.543,-0.817,2.28,0.071,-0.559970416502693
"519",5,23,0,0.255,-1.204,1.449,0.071,-0.316256250748303
"520",5,23,0,-0.658,-0.717,2.449,0.071,0.43621398975533
"521",5,23,0,-0.687,-0.293,2,0.218,-0.135008638070904
"522",5,23,0,-1.064,-0.417,2.898,0.218,0.616928286884111
"523",5,23,0,-1.395,-0.817,2.28,0.218,-0.0503324579741517
"524",5,23,0,-1.543,-0.63,2.588,0.218,0.390194401601325
"525",5,23,0,-1.338,-1.017,0.894,1.69,-0.250368133213793
"526",5,23,0,-0.789,-0.542,1.225,1.69,-0.217912044401977
"527",5,23,0,-1.554,-0.929,1.14,1.69,0.175816783502585
"528",5,23,0,-1.355,-0.729,2.429,1.69,-0.389371184195938
"529",5,23,0,-1.486,-1.166,1.549,1.984,-0.733613368483043
"530",5,23,0,-0.641,-0.542,2.72,1.984,0.356007934415113
"531",5,23,0,-1.515,-1.154,0,1.984,0.112558102717219
"532",5,23,0,-1.423,-1.229,0.447,1.984,-2.73476673153729
"533",5,23,0,-1.583,-1.091,1.732,1.469,0.502333757904543
"534",5,23,0,-0.949,-0.081,3.332,1.469,-0.572482936128777
"535",5,23,0,-1.298,-0.467,2.828,1.469,-0.588711787354304
"536",5,23,0,-0.253,0.593,4.062,1.469,-0.45024182416045
"537",5,24,1,-0.887,-0.417,2.121,1.101,0.784305130350495
"538",5,24,1,-1.412,-0.68,1,1.101,0.585549375063535
"539",5,24,1,-1.355,-0.942,1.225,1.101,0.230454202924719
"540",5,24,1,-0.949,-0.58,1.732,1.101,1.28737146472145
"541",5,24,1,0.33,-0.093,0.707,-0.959,0.717671678266265
"542",5,24,1,-0.133,0.032,0.316,-0.959,-0.0139963925607611
"543",5,24,1,-0.441,-0.405,1,-0.959,2.27184714979207
"544",5,24,1,-0.555,-0.967,0.548,-0.959,-0.247394756087305
"545",5,24,1,-0.573,-0.155,0.632,-0.812,-1.1818854432919
"546",5,24,1,-0.441,-1.154,0.548,-0.812,0.126972012508097
"547",5,24,1,0.027,-1.029,0.447,-0.812,0.631630232100395
"548",5,24,1,0.821,-0.929,0.837,-0.812,-0.024389987893845
"549",5,24,1,-0.036,0.069,1,-1.106,-0.119935502782371
"550",5,24,1,1.386,1.766,1,-1.106,0.794107920292286
"551",5,24,1,0.906,-0.218,1.732,-1.106,1.3286963882468
"552",5,24,1,0.661,-0.592,1,-1.106,-2.15860380337224
"553",5,24,1,-1.457,-0.58,1.118,-0.076,1.21249742882263
"554",5,24,1,-0.35,-0.218,0,-0.076,1.17469103346645
"555",5,24,1,-0.658,-1.466,1.225,-0.076,-1.71135944886511
"556",5,24,1,-0.424,-0.218,0.316,-0.076,-1.94684485940716
"557",5,24,1,-0.847,-0.717,1.581,-0.812,-0.962964231940386
"558",5,24,1,1.968,0.244,2.236,-0.812,-0.220861173261616
"559",5,24,1,-0.715,-0.455,1.304,-0.812,-0.884902077687965
"560",5,24,1,0.198,-0.592,2,-0.812,0.250075204944007
"561",5,24,1,-0.772,0.581,1.732,0.071,-0.660813157518801
"562",5,24,1,-0.338,0.157,1,0.071,0.123088745809719
"563",5,24,1,-0.453,0.593,1.414,0.071,0.717395223780642
"564",5,24,1,-0.207,0.93,2.236,0.071,0.351177313816883
"565",5,24,1,-0.413,-0.405,2,-0.812,1.5953524986802
"566",5,24,1,-0.076,-0.592,1.581,-0.812,0.918900029865457
"567",5,24,1,-0.453,-0.592,2,-0.812,-0.180219571694002
"568",5,24,1,-0.498,-0.655,1.581,-0.812,0.737339200889008
"569",5,24,1,-0.858,-0.343,0.837,0.218,0.495783788366863
"570",5,24,1,-1.109,-0.018,1,0.218,-0.27810517273554
"571",5,24,1,-0.67,-0.467,1.732,0.218,-1.05350817451837
"572",5,24,1,-0.818,-0.405,1,0.218,0.76024778764797
"573",5,24,1,-1.092,-0.53,0.837,-0.665,-0.195225764098612
"574",5,24,1,-0.772,-0.43,1.414,-0.665,-0.715681411043771
"575",5,24,1,-0.064,0.593,1.414,-0.665,0.171101365465233
"576",5,24,1,-0.989,-1.466,0.548,-0.665,0.580204590043172
"577",5,25,0,-2.165,-0.667,2.387,0.218,-0.454681655281414
"578",5,25,0,-0.921,-0.817,2.28,0.218,0.134897605887921
"579",5,25,0,-1.412,-0.842,2.236,0.218,-0.241043433408752
"580",5,25,0,-0.573,-0.754,2.387,0.218,0.572880302327752
"581",5,25,0,0.375,0.119,3.271,1.837,0.109093472985176
"582",5,25,0,0.301,-0.293,3.066,1.837,2.38872542334804
"583",5,25,0,-0.424,-0.106,3.302,1.837,-0.94693718714412
"584",5,25,0,0.592,0.469,3.742,1.837,1.50837258267502
"585",5,25,0,-0.858,-0.592,2.646,1.69,-0.679146434372937
"586",5,25,0,-0.744,-0.28,3.082,1.69,-1.11714904270771
"587",5,25,0,-0.761,-0.417,2.898,1.69,0.137296898095925
"588",5,25,0,0.33,0.331,4.301,1.69,0.724529504521162
"589",5,25,0,-1.366,-0.729,2.429,0.218,-1.19890781737729
"590",5,25,0,0.444,0.731,3.742,0.218,0.996035828521887
"591",5,25,0,1.026,0.793,3.162,0.218,-0.217270441579871
"592",5,25,0,-0.818,-0.48,2.811,0.218,-0.172977503160483
"593",5,25,0,0.01,0.568,3,0.218,-0.494052616860014
"594",5,25,0,-1.075,0.132,2.55,0.218,-0.517002302589049
"595",5,25,0,-0.161,0.793,2.449,0.218,-0.31477826544316
"596",5,25,0,-0.281,0.531,2.915,0.218,0.55468092460501
"597",5,26,1,-0.921,-0.655,1.871,1.69,-0.803519820280653
"598",5,26,1,-1.046,-0.592,2.345,1.69,-1.72825402358203
"599",5,26,1,-1.006,-0.218,2.345,1.69,-0.273677929175686
"600",5,26,1,-0.453,-0.28,2.646,1.69,1.20536036334716
"601",5,26,1,-0.396,-0.717,1.342,-0.517,-0.503524879515518
"602",5,26,1,-0.453,-0.63,2.121,-0.517,1.02342522684731
"603",5,26,1,-0.641,-0.043,2,-0.517,-0.553125499539203
"604",5,26,1,0.375,-0.655,1.871,-0.517,0.431217002848522
"605",5,26,1,0.461,-1.029,1.225,-0.812,-0.207736312132559
"606",5,26,1,-0.949,-0.555,1.871,-0.812,-0.698254587707969
"607",5,26,1,-0.076,-0.592,1.517,-0.812,-0.00877031880055809
"608",5,26,1,0.489,-0.842,1.581,-0.812,0.264690560905602
"609",5,26,1,-0.236,-0.717,0.316,-0.223,-0.242888978864788
"610",5,26,1,-0.453,-0.842,0.224,-0.223,-0.305544366768767
"611",5,26,1,-1.206,-0.854,0.837,-0.223,0.676960847671839
"612",5,26,1,-1.309,-0.842,0.224,-0.223,-0.634839176339273
"613",5,26,1,0.649,-0.343,0.224,0.071,0.62219660500562
"614",5,26,1,-0.076,-0.53,0.5,0.071,-0.634103532590353
"615",5,26,1,0.849,-0.655,0,0.071,-0.417261190694363
"616",5,26,1,0.809,-0.343,0.548,0.071,-1.17094033637176
"617",5,26,1,0.792,-0.28,1,0.365,-1.3768713508334
"618",5,26,1,-0.612,-0.168,2.236,0.365,1.2706590021279
"619",5,26,1,1.157,-0.243,2.236,0.365,-1.04622257449777
"620",5,26,1,0.906,-0.405,1.581,0.365,0.766759788295688
"621",5,26,1,-0.961,-0.904,0.894,0.218,-1.93810015061628
"622",5,26,1,-0.31,0.294,1.14,0.218,0.571332196380133
"623",5,26,1,-0.424,-0.717,1.225,0.218,0.535002868426934
"624",5,26,1,-0.281,-0.692,1.183,0.218,-1.36463804616647
